model,model_id,pooling,level,nmi_mean,nmi_std,purp_mean,purp_std,pura_mean,pura_std
bert-base-uncased,google-bert/bert-base-uncased,uniform,section,0.206554786276276,0.0003894827654512329,0.5264986674763014,0.002074620228927103,0.1532570927369025,0.00232158020903219
bert-base-uncased,google-bert/bert-base-uncased,uniform,class,0.30705846443344575,0.0005400888725344792,0.32952130351179026,0.005282698076371305,0.27760348142900515,0.002507744498201361
bert-base-uncased,google-bert/bert-base-uncased,uniform,subclass,0.3682461697947272,0.0012895382619548218,0.19782073339405593,0.0031793125940919407,0.3825186384643929,0.0014556859299255332
bert-base-uncased,google-bert/bert-base-uncased,root+depth,section,0.2093898689603402,0.000874391395349888,0.5320986404884795,0.0040145802248928225,0.15531491414499207,0.0031469321944523412
bert-base-uncased,google-bert/bert-base-uncased,root+depth,class,0.3110295554136888,0.0019556899177516802,0.3373140370407854,0.0037111321571185437,0.2792564855109132,0.005253101686016059
bert-base-uncased,google-bert/bert-base-uncased,root+depth,subclass,0.37694317998006976,0.0014553472834958807,0.20686165367877743,0.004033810502260265,0.3983739837398374,0.0035984113729462864
