method,training_runs,section_nmi_mean,section_nmi_std,section_nmi_ci_lower,section_nmi_ci_upper,class_nmi_mean,class_nmi_std,class_nmi_ci_lower,class_nmi_ci_upper,subclass_nmi_mean,subclass_nmi_std,subclass_nmi_ci_lower,subclass_nmi_ci_upper,mean_nmi_mean,mean_nmi_std,mean_nmi_ci_lower,mean_nmi_ci_upper
Uniform pooling,1,0.2468347258853058,,,,0.36278846791465585,,,,0.4257328825025106,,,,0.34511869210082413,,,
Balanced ROOTS,1,0.2753099777586139,,,,0.39768721317728817,,,,0.4570758265396765,,,,0.3766910058251928,,,
SSL-MLP + attention,10,0.24872335760347197,0.0006493228345995885,0.24825886002952524,0.2491878551774187,0.36537738068208936,0.00057244594266803,0.3649678775236968,0.3657868838404819,0.427446581357579,0.0004992602667594929,0.42708943207786704,0.427803730637291,0.34718243988104674,0.0004686646552266349,0.3468471773833377,0.3475177023787558
Structural VICReg-GAT,10,0.251601107466319,0.0005260616266102102,0.2512247856487479,0.25197742928389005,0.3687426977321772,0.0007722221064986508,0.36819028331533654,0.3692951121490179,0.43129580188119643,0.0011345340960875663,0.43048420508048096,0.4321073986819119,0.35054653569323085,0.0007512521582445869,0.35000912227369196,0.35108394911276974
