model,pooling,level,nmi_mean,nmi_std,purp_mean,purp_std,pura_mean,pura_std
all-MiniLM-L6-v2,uniform,section,0.22160296278354016,0.0021404289641528793,0.5455925513611982,0.0032205671449887234,0.16860641635461995,0.006407654300844766
all-MiniLM-L6-v2,uniform,class,0.32789633270405133,0.0031638659638184583,0.3564079209256823,0.004325687762510504,0.30415275107107914,0.008161167050002666
all-MiniLM-L6-v2,uniform,subclass,0.3944889269953071,0.0035687914201535083,0.2188374995783153,0.0023493553751617827,0.42934250919272676,0.006656616123561368
all-MiniLM-L6-v2,weighted,section,0.2445093762548051,0.0001675210950486701,0.5764936072597241,0.003951147524083618,0.17531963701379752,0.0029682770175028053
all-MiniLM-L6-v2,weighted,class,0.36891138030371934,0.0008086278768189697,0.3923354586242958,0.0069383834335574445,0.3470296528691428,0.003473535533191092
all-MiniLM-L6-v2,weighted,subclass,0.4345694374416597,0.0006885649587128597,0.25024457713456805,0.005892105018757389,0.4895928212394158,0.0015642172680726692
