model,pooling,mean_nmi,std_nmi
all-MiniLM-L6-v2,uniform,0.31466274082763285,0.0029331806180096366
all-MiniLM-L6-v2,root+depth,0.34933006466672806,0.0004839760404366238
all-MiniLM-L6-v2,paired_delta,0.034667323839095175,0.003271343308638296
