model,model_id,pooling,level,nmi_mean,nmi_std,purp_mean,purp_std,pura_mean,pura_std
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,uniform,section,0.2352300077742178,0.0012449960005136245,0.5619539182943697,0.002579332031658769,0.1715413419694363,0.012517738991048074
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,uniform,class,0.35842463634426275,0.0017312003852231392,0.3817427385892116,0.002361916278948056,0.33481766352933245,0.004383704169279834
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,uniform,subclass,0.42371834151914095,0.0033203476182212324,0.23357959720676047,0.0024331171501207048,0.47633505380696956,0.01038724412133704
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,weighted,section,0.2544328580852211,0.002594849956739435,0.5861754883108997,0.004153900525241986,0.18307863576561076,0.0071866952858239685
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,weighted,class,0.38452398068062954,0.00350359639274745,0.4018486657895625,0.007782138571829426,0.3702391795702189,0.005488929190645101
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,weighted,subclass,0.4488655875397074,0.00372647443981528,0.25311203319502074,0.009250467129809141,0.5057180447323145,0.0075738894805129475
